step,arc,vx,dS_p10,dS_p50,ess_final,frac_unsafe,n_all_unsafe,unsafe_mean,unsafe_max,unsafe_final,sigma_S,sigma_S_bulk,w_max
147,4464.56,-15.2328,4.36325e+10,1.3524e+11,1,0.0613091,0,30.6545,182,182,8.87479e+10,3.8123e+10,1
148,4464.56,-15.3271,6.34355e+10,1.72219e+11,1,0.0710909,0,35.5455,217,217,9.34312e+10,4.64603e+10,1
149,4464.56,-15.5012,6.11106e+10,1.75116e+11,1,0.0698909,0,34.9455,183,183,9.60405e+10,4.67894e+10,1
150,4462.64,-15.6623,2.93787e+10,1.33448e+11,1,0.0583636,0,29.1818,119,68,8.9101e+10,3.99837e+10,1
151,4462.64,-15.8402,6.73028e+10,1.95234e+11,1,0.0780727,0,39.0364,182,52,1.06123e+11,5.31e+10,1
152,4460.73,-15.9692,3.87724e+10,1.31696e+11,1,0.0557818,0,27.8909,115,56,8.23252e+10,3.5973e+10,1
153,4460.73,-16.1408,5.45854e+10,1.6303e+11,1,0.0698545,0,34.9273,148,86,9.14628e+10,4.44807e+10,1
154,4458.81,-16.3239,4.68459e+10,1.48581e+11,1,0.0644,0,32.2,131,66,8.62923e+10,3.99346e+10,1
155,4458.81,-16.4605,5.72092e+10,1.56225e+11,1,0.0693818,0,34.6909,141,113,9.33422e+10,4.27792e+10,1
156,4458.81,-16.6462,5.81028e+10,1.51725e+11,1,0.0696,0,34.8,134,63,8.58621e+10,3.98725e+10,1
157,4456.9,-16.8008,3.73928e+10,1.36089e+11,1,0.0636,0,31.8,126,126,8.46033e+10,3.84763e+10,1
158,4456.9,-16.9784,4.5395e+10,1.43976e+11,1,0.0623273,0,31.1636,179,179,8.23219e+10,4.20162e+10,1
159,4454.99,-17.1327,7.55664e+10,1.98973e+11,1,0.0857091,0,42.8545,203,99,1.00358e+11,5.13855e+10,1
160,4454.99,-17.3154,4.73253e+10,1.43498e+11,1,0.0661091,0,33.0545,150,0,9.38212e+10,4.0315e+10,1
161,4453.07,-17.4829,3.64971e+10,1.3751e+11,1,0.0595636,0,29.7818,137,47,8.60284e+10,3.93951e+10,1
162,4453.07,-17.291,6.09619e+10,1.84969e+11,1,0.0721455,0,36.0727,150,62,9.68769e+10,5.24793e+10,1
163,4451.15,-17.4765,5.88917e+10,1.54521e+11,1,0.0654182,0,32.7091,210,45,9.08096e+10,4.1498e+10,1
164,4451.15,-17.6572,6.32259e+10,1.7294e+11,1,0.0679273,0,33.9636,184,2,9.79012e+10,4.54968e+10,1
165,4451.15,-17.8442,5.19224e+10,1.53222e+11,1,0.0620364,0,31.0182,155,41,9.34816e+10,4.16394e+10,1
166,4449.23,-18.0038,4.02683e+10,1.3558e+11,1,0.0585818,0,29.2909,117,70,8.89406e+10,3.97344e+10,1
167,4449.23,-18.1849,5.84754e+10,1.65386e+11,1,0.0665818,0,33.2909,223,107,9.28494e+10,4.50712e+10,1
168,4447.32,-18.3169,4.00269e+10,1.3532e+11,1,0.0569091,0,28.4545,128,84,8.79698e+10,3.65334e+10,1
169,4447.32,-18.1703,4.72561e+10,1.48353e+11,1,0.0637091,0,31.8545,177,83,8.97221e+10,4.15651e+10,1
170,4445.41,-18.3459,3.10995e+10,1.13737e+11,1,0.0501818,0,25.0909,117,41,7.48765e+10,3.1988e+10,1
171,4445.41,-18.4986,3.95246e+10,1.26761e+11,1,0.0536,0,26.8,125,39,8.4742e+10,3.59843e+10,1
172,4443.5,-18.6714,4.6598e+10,1.39976e+11,1,0.0635273,0,31.7636,202,102,8.98652e+10,4.09527e+10,1
173,4443.5,-18.8425,5.68641e+10,1.52674e+11,1,0.0657818,0,32.8909,254,254,8.56867e+10,4.07806e+10,1
174,4441.59,-19.0108,5.14656e+10,1.3311e+11,1,0.0587273,0,29.3636,163,59,8.13786e+10,3.5706e+10,1
175,4441.59,-19.1325,5.2653e+10,1.62339e+11,1,0.068,0,34,173,84,9.81578e+10,4.35214e+10,1
176,4439.67,-19.2386,3.92682e+10,1.43729e+11,1,0.0597091,0,29.8545,133,115,8.44112e+10,4.14583e+10,1
177,4439.67,-19.3812,3.89149e+10,1.36274e+11,1,0.0578545,0,28.9273,119,96,8.72356e+10,3.89587e+10,1
178,4437.75,-19.5514,3.89336e+10,1.35821e+11,1,0.0588364,0,29.4182,124,39,8.4977e+10,3.87325e+10,1
179,4437.75,-19.7313,7.1261e+10,1.76409e+11,1,0.0727636,0,36.3818,141,104,9.73436e+10,4.77918e+10,1
180,4435.84,-19.9129,5.13921e+10,1.52636e+11,1,0.0665818,0,33.2909,164,164,9.16635e+10,4.25852e+10,1
181,4435.84,-20.0791,5.59432e+10,1.62437e+11,1,0.0716727,0,35.8364,152,113,9.3384e+10,4.29105e+10,1
182,4433.93,-20.2337,6.33621e+10,1.61506e+11,1,0.0669818,0,33.4909,128,40,9.23762e+10,4.39926e+10,1
183,4433.93,-20.3512,6.42755e+10,1.69678e+11,1,0.0718546,0,35.9273,150,150,9.42563e+10,4.52585e+10,1
184,4432.02,-20.4911,9.27161e+10,2.13792e+11,1,0.0967636,0,48.3818,320,320,1.04388e+11,5.26931e+10,1
185,4432.02,-20.6649,8.32959e+10,1.96581e+11,1,0.0868364,0,43.4182,197,197,1.02492e+11,4.95697e+10,1
186,4430.11,-20.826,5.60412e+10,1.66276e+11,1,0.0736727,0,36.8364,143,68,9.36829e+10,4.48901e+10,1
187,4430.11,-20.9866,4.76058e+10,1.55143e+11,1,0.0688,0,34.4,131,85,9.35848e+10,4.28392e+10,1
188,4428.19,-21.1221,1.02192e+11,2.06344e+11,1,0.0906546,0,45.3273,384,107,9.72512e+10,4.87279e+10,1
189,4426.28,-20.9826,1.02632e+11,2.26104e+11,1,0.0944727,0,47.2364,266,266,1.12335e+11,5.19985e+10,1
190,4426.28,-20.8425,1.10707e+11,2.4253e+11,1,0.0921455,0,46.0727,327,327,1.09903e+11,5.40648e+10,1
191,4424.36,-20.6402,1.60649e+11,3.06693e+11,1,0.0960727,0,48.0364,466,167,1.3779e+11,6.81629e+10,1
192,4424.36,-20.426,1.06468e+11,2.35973e+11,1,0.0982909,0,49.1455,396,74,1.03028e+11,5.53366e+10,1
193,4422.44,-20.574,6.91392e+10,1.86614e+11,1,0.0836727,0,41.8364,230,230,1.00758e+11,4.72072e+10,1
194,4422.44,-20.3746,7.29237e+10,2.04512e+11,1,0.0795273,0,39.7636,274,40,1.07058e+11,5.49948e+10,1
195,4420.53,-20.2247,1.05506e+11,2.29291e+11,1,0.0951636,0,47.5818,198,198,1.12417e+11,5.36662e+10,1
196,4420.53,-20.3231,6.95137e+10,1.9396e+11,1,0.0845455,0,42.2727,191,67,9.91526e+10,4.90994e+10,1
197,4418.62,-20.4427,9.48777e+10,2.30428e+11,1,0.0970182,0,48.5091,313,19,1.10084e+11,5.28319e+10,1
198,4418.62,-20.598,1.09288e+11,2.33302e+11,1,0.0989818,0,49.4909,302,302,1.08286e+11,5.11534e+10,1
199,4416.7,-20.4117,7.51354e+10,1.90986e+11,1,0.0845455,0,42.2727,168,106,1.02541e+11,4.84362e+10,1
200,4416.7,-20.2421,1.29371e+11,2.58383e+11,1,0.105891,0,52.9455,494,494,1.09625e+11,5.39512e+10,1
201,4414.79,-20.164,1.18099e+11,2.33582e+11,1,0.0968727,0,48.4364,284,253,1.06233e+11,5.17218e+10,1
202,4412.88,-19.9986,8.42085e+10,1.96327e+11,1,0.0841454,0,42.0727,227,227,1.02127e+11,4.48249e+10,1
203,4412.88,-19.8278,1.14607e+11,2.63326e+11,1,0.0932727,0,46.6364,281,0,1.15192e+11,6.19456e+10,1
204,4410.96,-19.9074,5.99956e+10,1.52046e+11,1,0.0698182,0,34.9091,181,105,8.556e+10,4.1205e+10,1
205,4410.96,-19.8275,8.8518e+10,1.97327e+11,1,0.08,0,40,267,79,1.02938e+11,4.78406e+10,1
206,4409.05,-19.9888,5.28737e+10,1.56293e+11,1,0.0704,0,35.2,171,171,1.05734e+11,4.27127e+10,1
207,4409.05,-20.0858,5.10771e+10,1.60946e+11,1,0.0672364,0,33.6182,157,66,1.00632e+11,4.53435e+10,1
208,4407.14,-20.2698,8.5683e+10,1.99073e+11,1,0.0842182,0,42.1091,194,39,1.06928e+11,4.78983e+10,1
209,4407.14,-20.4519,4.64491e+10,1.38661e+11,1,0.0649091,0,32.4545,128,128,9.02989e+10,3.97275e+10,1
210,4405.22,-20.6269,8.01102e+10,1.95145e+11,1,0.0797091,0,39.8545,257,257,1.07738e+11,4.86167e+10,1
211,4405.22,-20.7953,6.7607e+10,1.75108e+11,1,0.0775273,0,38.7636,260,260,9.76454e+10,4.61303e+10,1
212,4403.31,-20.955,4.88906e+10,1.44549e+11,1,0.0630545,0,31.5273,124,44,8.95981e+10,3.88104e+10,1
213,4403.31,-21.137,5.88434e+10,1.66094e+11,1,0.0702909,0,35.1455,201,75,9.11108e+10,4.48558e+10,1
214,4401.4,-21.3201,4.34766e+10,1.31796e+11,1,0.0624364,0,31.2182,136,34,8.45099e+10,3.66229e+10,1
